호선_x,역명,구분,방법1_가중치_물류량,방법2_cluster3_가중치_물류량,방법2_cluster4_가중치_물류량,Unnamed: 0,차량기지,호선_y,전철역코드,수송비용,유휴공간,교통량
6호선,버티고개,중구,47542.34590942934,402557.711570191,287292.14249927195,201,신내차량사업소,6,2633,0.6181318681318682,0.0033651774030925,0.951468330211507
1호선,종각,종로구,26100.08199506696,298269.45636802574,212865.05934223547,2,군자차량사업소,1,152,0.2692307692307693,0.0364720515545178,0.9043274139220052
1호선,종로3가,종로구,26100.08199506696,298269.45636802574,212865.05934223547,3,군자차량사업소,1,153,0.3717948717948718,0.0192850551177229,0.9043274139220052
1호선,종로3가,종로구,26100.08199506696,298269.45636802574,212865.05934223547,72,지축차량사업소,3,319,0.7457627118644068,0.0573115597726693,0.9043274139220052
1호선,종로3가,종로구,26100.08199506696,298269.45636802574,212865.05934223547,146,방화차량사업소,5,2535,0.8461538461538461,0.0152934369980546,0.9043274139220052
3호선,종로3가,종로구,26100.08199506696,298269.45636802574,212865.05934223547,3,군자차량사업소,1,153,0.3717948717948718,0.0192850551177229,0.9043274139220052
3호선,종로3가,종로구,26100.08199506696,298269.45636802574,212865.05934223547,72,지축차량사업소,3,319,0.7457627118644068,0.0573115597726693,0.9043274139220052
3호선,종로3가,종로구,26100.08199506696,298269.45636802574,212865.05934223547,146,방화차량사업소,5,2535,0.8461538461538461,0.0152934369980546,0.9043274139220052
5호선,종로3가,종로구,26100.08199506696,298269.45636802574,212865.05934223547,3,군자차량사업소,1,153,0.3717948717948718,0.0192850551177229,0.9043274139220052
5호선,종로3가,종로구,26100.08199506696,298269.45636802574,212865.05934223547,72,지축차량사업소,3,319,0.7457627118644068,0.0573115597726693,0.9043274139220052
5호선,종로3가,종로구,26100.08199506696,298269.45636802574,212865.05934223547,146,방화차량사업소,5,2535,0.8461538461538461,0.0152934369980546,0.9043274139220052
1호선,종로5가,종로구,26100.08199506696,298269.45636802574,212865.05934223547,4,군자차량사업소,1,154,0.4871794871794872,0.0053441605759112,0.9043274139220052
1호선,동대문,종로구,26100.08199506696,298269.45636802574,212865.05934223547,5,군자차량사업소,1,155,0.5897435897435898,0.0036861635553875,0.9043274139220052
1호선,동대문,종로구,26100.08199506696,298269.45636802574,212865.05934223547,108,창동차량사업소,4,421,0.4858044164037854,0.0367956263048151,0.9043274139220052
4호선,동대문,종로구,26100.08199506696,298269.45636802574,212865.05934223547,5,군자차량사업소,1,155,0.5897435897435898,0.0036861635553875,0.9043274139220052
4호선,동대문,종로구,26100.08199506696,298269.45636802574,212865.05934223547,108,창동차량사업소,4,421,0.4858044164037854,0.0367956263048151,0.9043274139220052
1호선,동묘앞,종로구,26100.08199506696,298269.45636802574,212865.05934223547,6,군자차량사업소,1,159,0.6666666666666667,0.0022909092321053,0.9043274139220052
1호선,동묘앞,종로구,26100.08199506696,298269.45636802574,212865.05934223547,205,신내차량사업소,6,2637,0.695054945054945,0.019026195317485,0.9043274139220052
6호선,동묘앞,종로구,26100.08199506696,298269.45636802574,212865.05934223547,6,군자차량사업소,1,159,0.6666666666666667,0.0022909092321053,0.9043274139220052
6호선,동묘앞,종로구,26100.08199506696,298269.45636802574,212865.05934223547,205,신내차량사업소,6,2637,0.695054945054945,0.019026195317485,0.9043274139220052
