차량기지명,IC명,거리(km)
신정차량사업소,서하남IC,25.458867953045694
창동차량사업소,서종IC,25.55261008444078
신정차량사업소,서하남IC,25.621675128339906
창동차량사업소,금천IC,25.711707610402136
지축차량사업소,강일IC,26.012114577953824
방화차량사업소,서안산IC,26.025190682000286
신정차량사업소,매송IC,26.0458049607418
방화차량사업소,서안산IC,26.081659397790194
도봉차량사업소,송파IC,26.101783949811836
도봉차량사업소,송파IC,26.211887766188383
방화차량사업소,평촌IC,26.221486372563053
지축차량사업소,강일IC,26.261017749429694
지축차량사업소,가좌IC,26.31219864469645
도봉차량사업소,김포IC,26.41559079870663
도봉차량사업소,양재IC,26.450034379501464
신내차량사업소,일산IC,26.488224451301512
방화차량사업소,안산IC,26.519693767289507
방화차량사업소,안산IC,26.607205617504537
창동차량사업소,판교IC,26.658759610370396
군자차량사업소,북수원IC,26.70814484652635
신내차량사업소,자유로IC,26.717627534008493
군자차량사업소,북수원IC,26.749851842265834
천왕차량사업소,비봉IC,26.761807536041335
군자차량사업소,계양IC,26.818044899686807
군자차량사업소,부곡IC,26.844148159900755
지축차량사업소,선동IC,26.879132289019946
군자차량사업소,부곡IC,26.88448000940918
창동차량사업소,김포IC,26.938767352866957
군자차량사업소,동군포IC,26.98075360080874
천왕차량사업소,동수원IC,27.03975235957218
군자차량사업소,동군포IC,27.068391774548765
수서차량사업소,시흥IC,27.069602247862317
천왕차량사업소,동수원IC,27.087362087981063
신정차량사업소,토평IC,27.135276002100866
신정차량사업소,구리IC,27.140967742156672
수서차량사업소,용인IC,27.184601859190074
고덕차량사업소,평촌IC,27.193836162963333
천왕차량사업소,서하남IC,27.19825222331441
신정차량사업소,토평IC,27.22040843347974
신정차량사업소,구리IC,27.250358479076475
고덕차량사업소,금천IC,27.32745162748762
천왕차량사업소,서하남IC,27.35272206293673
군자차량사업소,중동IC,27.432191110264768
신정차량사업소,남양주IC,27.50518205411533
신정차량사업소,강일IC,27.513131054974387
지축차량사업소,광명역IC,27.538494834955774
신정차량사업소,남양주IC,27.59091655661124
고덕차량사업소,남양평IC,27.593826154406525
신정차량사업소,강일IC,27.780915305327348
군자차량사업소,군포IC,27.801915956432417
신정차량사업소,별내IC,27.835008309697603
군자차량사업소,군포IC,27.879691589871236
신정차량사업소,퇴계원IC,27.89040010309093
수서차량사업소,안산IC,27.896476151284066
방화차량사업소,별내IC,27.9061312218156
지축차량사업소,미사IC,27.98964360000626
지축차량사업소,서하남IC,28.00725430444382
군자차량사업소,송내IC,28.026429039916597
수서차량사업소,안산IC,28.05852968605123
군자차량사업소,장수IC,28.131115144253112
군자차량사업소,동수원IC,28.15173150890808
지축차량사업소,서하남IC,28.17438016315992
지축차량사업소,상일IC,28.201359989456382
지축차량사업소,상일IC,28.203261652050116
신정차량사업소,상일IC,28.219441446207135
군자차량사업소,동수원IC,28.260533001532387
신정차량사업소,상일IC,28.31280803842153
지축차량사업소,도화IC,28.32845655724274
신내차량사업소,평촌IC,28.338423635557117
지축차량사업소,목감IC,28.435892976408077
신정차량사업소,선동IC,28.696578878330158
수서차량사업소,서종IC,28.726551296158647
신정차량사업소,동수원IC,28.739734748219117
신정차량사업소,동수원IC,28.799858281078713
방화차량사업소,퇴계원IC,28.80179134959733
신내차량사업소,김포IC,28.827356084170514
지축차량사업소,송파IC,28.955870742732717
방화차량사업소,구리IC,28.96306249803849
수서차량사업소,부천IC,29.030175235239998
방화차량사업소,구리IC,29.11010405326339
지축차량사업소,송파IC,29.118659591031612
수서차량사업소,매송IC,29.249289302136162
