호선,역명,IC명,거리(km)
9호선,고속터미널,양재IC,5.66366373038781
7호선,반포,양재IC,5.667399241247825
5호선,둔촌동,강일IC,5.670748446258888
7호선,공릉,퇴계원IC,5.673769232548443
3호선,고속터미널,양재IC,5.67802334560886
7호선,중화,구리IC,5.678951718931973
9호선,공항시장,계양IC,5.6816068271542965
5호선,송정,계양IC,5.709651271610663
6호선,신내,토평IC,5.714223790020115
7호선,면목,구리IC,5.715214443273419
8호선,강동구청,상일IC,5.722039118490539
7호선,학동,양재IC,5.746591814817525
5호선,강동,토평IC,5.758783124659429
5호선,광나루,서하남IC,5.76594316862936
5호선,올림픽공원,상일IC,5.767910040127625
5호선,하남시청,서하남IC,5.770439580928463
5호선,우장산,부천IC,5.7720637458835435
5호선,마곡,김포IC,5.775929942214886
5호선,발산,김포IC,5.775929942214886
9호선,신방화,자유로IC,5.778802174671234
5호선,강동,토평IC,5.783907476270421
5호선,화곡,부천IC,5.788029399433304
6호선,봉화산,남양주IC,5.7919233002761175
2호선,강변,서하남IC,5.792986680942138
3호선,학여울,송파IC,5.795984398445063
5호선,개화산,계양IC,5.804701555502396
7호선,먹골,구리IC,5.807114747002731
7호선,중화,구리IC,5.812295919604419
5호선,둔촌동,강일IC,5.815211634285277
9호선,신방화,부천IC,5.821771261530282
5호선,천호,토평IC,5.831865721605422
7호선,총신대입구,양재IC,5.853865869502993
5호선,개화산,부천IC,5.857153613107648
6호선,봉화산,남양주IC,5.859796611219896
7호선,태릉입구,퇴계원IC,5.861917564289582
6호선,태릉입구,퇴계원IC,5.861917564289582
5호선,하남검단산,선동IC,5.868229110572846
5호선,천호,토평IC,5.869693559933831
5호선,하남시청,서하남IC,5.872305077385494
4호선,상계,퇴계원IC,5.875531817651191
7호선,수락산,별내IC,5.88324032636616
3호선,수서,양재IC,5.8890792956412845
7호선,하계,퇴계원IC,5.892118780224373
9호선,봉은사,양재IC,5.893590675035469
7호선,태릉입구,구리IC,5.898963077572372
6호선,태릉입구,구리IC,5.898963077572372
5호선,굽은다리,미사IC,5.907799190144841
8호선,천호,토평IC,5.90990182834712
5호선,둔촌동,송파IC,5.910562497581728
4호선,총신대입구,양재IC,5.920789535606095
2호선,서울대입구,금천IC,5.925765769260923
5호선,하남시청,덕소삼패IC,5.938428042334013
4호선,당고개,퇴계원IC,5.941453880903753
8호선,천호,토평IC,5.947594139474267
5호선,둔촌동,송파IC,5.963340590188972
5호선,마곡,부천IC,5.9661695958448355
5호선,발산,부천IC,5.9661695958448355
5호선,상일동,덕소삼패IC,5.97762938137887
7호선,먹골,퇴계원IC,5.998657172364425
7호선,강남구청,양재IC,6.000050716913999
2호선,종합운동장,양재IC,6.001061157814904
7호선,면목,남양주IC,6.006964464323764
6호선,태릉입구,별내IC,6.029760133788777
7호선,태릉입구,별내IC,6.029760133788777
8호선,신흥,대왕판교IC,6.031767286975269
7호선,상봉,남양주IC,6.034250135236196
2호선,도림천,금천IC,6.037056398378251
7호선,사가정,토평IC,6.041209847752689
9호선,신반포,양재IC,6.041998067827576
7호선,사가정,구리IC,6.053027809718394
7호선,태릉입구,구리IC,6.058637206446865
6호선,태릉입구,구리IC,6.058637206446865
2호선,까치산,부천IC,6.084767012185335
5호선,까치산,부천IC,6.084767012185335
7호선,면목,남양주IC,6.092174337478548
9호선,공항시장,자유로IC,6.103800553212529
3호선,대치,송파IC,6.105553284114691
8호선,산성,서하남IC,6.11691622892172
7호선,상봉,남양주IC,6.117464870385904
8호선,암사,남양주IC,6.122670207221499
7호선,사가정,구리IC,6.127311705896354
7호선,사가정,토평IC,6.132947442014073
2호선,양천구청,금천IC,6.136901550928013
5호선,강동,선동IC,6.139364572546116
7호선,면목,토평IC,6.143829616079631
5호선,하남검단산,강일IC,6.148308608596996
3호선,잠원,양재IC,6.148953346097821
9호선,마곡나루,자유로IC,6.154945211735719
7호선,공릉,구리IC,6.157249098609026
8호선,산성,서하남IC,6.167913829084176
5호선,하남검단산,덕소삼패IC,6.178173549813755
7호선,사가정,남양주IC,6.179866606813043
8호선,암사,남양주IC,6.18045618993696
8호선,강동구청,송파IC,6.188535056010235
8호선,강동구청,강일IC,6.1940772345875645
9호선,김포공항,자유로IC,6.198192203711918
3호선,신사,양재IC,6.220462388989714
9호선,개화,부천IC,6.223576966571939
5호선,김포공항,자유로IC,6.227360206847519
7호선,면목,토평IC,6.23687604459173
7호선,중계,퇴계원IC,6.245408488974765
2호선,종합운동장,송파IC,6.252439092058294
5호선,굽은다리,남양주IC,6.262273634026624
7호선,사가정,남양주IC,6.265595743532095
5호선,광나루,강일IC,6.26604169619581
7호선,청담,양재IC,6.272579058096001
8호선,강동구청,송파IC,6.277009724177694
3호선,대치,송파IC,6.27721403747389
7호선,용마산,토평IC,6.283329198606097
8호선,신흥,판교IC,6.294273551758951
5호선,굽은다리,남양주IC,6.3039087470968225
4호선,창동,별내IC,6.310032540873166
5호선,하남풍산,서하남IC,6.322192426523449
9호선,신방화,계양IC,6.323947314593694
7호선,공릉,구리IC,6.325562343384396
5호선,하남검단산,강일IC,6.3535121292410315
5호선,하남시청,토평IC,6.355361779331623
2호선,문래,금천IC,6.364119591816935
5호선,광나루,토평IC,6.369920224677454
7호선,용마산,토평IC,6.372388335613573
5호선,송정,자유로IC,6.375135505368764
8호선,강동구청,강일IC,6.385010451545504
5호선,하남풍산,서하남IC,6.398183326768021
9호선,양천향교,김포IC,6.399991466734126
7호선,상봉,토평IC,6.414701181723287
2호선,종합운동장,송파IC,6.418059967064793
9호선,구반포,양재IC,6.423555132151106
5호선,하남시청,토평IC,6.426432441480442
7호선,중화,퇴계원IC,6.4270008239401655
8호선,문정,성남IC,6.429553756203401
5호선,광나루,토평IC,6.431326222006991
5호선,마천,상일IC,6.439368588796123
9호선,개화,일산IC,6.442833031937404
5호선,천호,선동IC,6.465164819338073
2호선,구의,서하남IC,6.470771267368837
