차량기지,구분,호선,전철역코드,역명,수송비용,유휴공간,교통량
모란차량사업소,송파구,8,2818,가락시장,0.4237288136,0.02071525551,0.6796041578
수서차량사업소,송파구,3,341,경찰병원,0.04347826087,0.01221818257,0.6796041578
수서차량사업소,송파구,3,342,오금,0,,0.6796041578
고덕차량사업소,송파구,5,2558,오금,0.09310344828,0.003543790665,0.6796041578
수서차량사업소,송파구,3,342,오금,0,,0.6796041578
고덕차량사업소,송파구,5,2558,오금,0.09310344828,0.003543790665,0.6796041578
고덕차량사업소,송파구,5,2556,올림픽공원,0.1517241379,0.004814792284,0.6796041578
김포차량사업소,송파구,9,4136,올림픽공원,0.9334975369,,0.6796041578
고덕차량사업소,송파구,5,2556,올림픽공원,0.1517241379,0.004814792284,0.6796041578
김포차량사업소,송파구,9,4136,올림픽공원,0.9334975369,,0.6796041578
고덕차량사업소,송파구,5,2557,방이,0.124137931,0.007219599829,0.6796041578
고덕차량사업소,송파구,5,2559,개롱,0.06206896552,0.005177196005,0.6796041578
고덕차량사업소,송파구,5,2560,거여,0.03103448276,0.003750878505,0.6796041578
고덕차량사업소,송파구,5,2561,마천,0,0.003882897004,0.6796041578
모란차량사업소,송파구,8,2814,몽촌토성,0.2146892655,0.004659476404,0.6796041578
모란차량사업소,송파구,8,2816,석촌,0.3276836158,0.008801233208,0.6796041578
김포차량사업소,송파구,9,4133,석촌,0.8596059113,,0.6796041578
모란차량사업소,송파구,8,2816,석촌,0.3276836158,0.008801233208,0.6796041578
김포차량사업소,송파구,9,4133,석촌,0.8596059113,,0.6796041578
모란차량사업소,송파구,8,2817,송파,0.3785310734,0.006480555099,0.6796041578
모란차량사업소,송파구,8,2819,문정,0.4745762712,0.003882897004,0.6796041578
모란차량사업소,송파구,8,2820,장지,0.5254237288,0.04376024923,0.6796041578
모란차량사업소,송파구,8,2821,복정,0.5762711864,0.006471495006,0.6796041578
김포차량사업소,송파구,9,4131,삼전,0.815270936,,0.6796041578
김포차량사업소,송파구,9,4132,석촌고분,0.8349753695,,0.6796041578
김포차량사업소,송파구,9,4134,송파나루,0.8793103448,,0.6796041578
김포차량사업소,송파구,9,4135,한성백제,0.8990147783,,0.6796041578
신정차량사업소,강남구,2,219,삼성,0.3073089701,,0.5360912592
신정차량사업소,강남구,2,220,선릉,0.3289036545,0.0405633307,0.5360912592
신정차량사업소,강남구,2,221,역삼,0.3488372093,0.08888210101,0.5360912592
신정차량사업소,강남구,2,222,강남,0.3621262458,0.0237141463,0.5360912592
수서차량사업소,강남구,3,326,압구정,1,0.01523131065,0.5360912592
수서차량사업소,강남구,3,327,신사,0.9184782609,0.04464813835,0.5360912592
수서차량사업소,강남구,3,333,매봉,0.5054347826,0.00869510069,0.5360912592
수서차량사업소,강남구,3,334,도곡,0.4619565217,0.01272554778,0.5360912592
수서차량사업소,강남구,3,335,대치,0.4184782609,,0.5360912592
수서차량사업소,강남구,3,336,학여울,0.375,,0.5360912592
수서차량사업소,강남구,3,337,대청,0.3260869565,0.006421017345,0.5360912592
수서차량사업소,강남구,3,338,일원,0.2608695652,0.1317829357,0.5360912592
수서차량사업소,강남구,3,339,수서,0.1630434783,0.02911137313,0.5360912592
도봉차량사업소,강남구,7,2731,청담,0.9523809524,0.08879926587,0.5360912592
도봉차량사업소,강남구,7,2732,강남구청,1,0.1520413037,0.5360912592
천왕차량사업소,강남구,7,2733,학동,1,0.07012123699,0.5360912592
천왕차량사업소,강남구,7,2734,논현,0.9563318777,0.07552364102,0.5360912592
김포차량사업소,강남구,9,4126,언주,0.684729064,,0.5360912592
김포차량사업소,강남구,9,4127,선정릉,0.7068965517,,0.5360912592
김포차량사업소,강남구,9,4128,삼성중앙,0.7266009852,,0.5360912592
김포차량사업소,강남구,9,4129,봉은사,0.7463054187,,0.5360912592
신정차량사업소,서초구,2,223,교대,0.3820598007,0.0247508798,0.4932431889
수서차량사업소,서초구,3,330,교대,0.7173913043,0.1036824101,0.4932431889
신정차량사업소,서초구,2,223,교대,0.3820598007,0.0247508798,0.4932431889
수서차량사업소,서초구,3,330,교대,0.7173913043,0.1036824101,0.4932431889
신정차량사업소,서초구,2,224,서초,0.3936877076,0.02393935433,0.4932431889
신정차량사업소,서초구,2,225,방배,0.4219269103,0.01579433071,0.4932431889
수서차량사업소,서초구,3,328,잠원,0.8695652174,,0.4932431889
수서차량사업소,서초구,3,329,고속터미널,0.8043478261,1,0.4932431889
천왕차량사업소,서초구,7,2736,고속터미널,0.8777292576,0.2500986903,0.4932431889
김포차량사업소,서초구,9,4123,고속터미널,0.6157635468,,
수서차량사업소,서초구,3,329,고속터미널,0.8043478261,1,0.4932431889
천왕차량사업소,서초구,7,2736,고속터미널,0.8777292576,0.2500986903,0.4932431889
김포차량사업소,서초구,9,4123,고속터미널,0.6157635468,,
수서차량사업소,서초구,3,331,남부터미널,0.6684782609,,0.4932431889
수서차량사업소,서초구,3,332,양재,0.5706521739,0.03468462463,0.4932431889
창동차량사업소,서초구,4,434,남태령,1,,0.4932431889
천왕차량사업소,서초구,7,2735,반포,0.9170305677,0.2340817402,0.4932431889
천왕차량사업소,서초구,7,2737,내방,0.7816593886,0.02950872293,0.4932431889
신정차량사업소,동작구,2,226,사당,0.4485049834,0.06513430294,0
창동차량사업소,동작구,4,433,사당,0.9305993691,0.2942524064,0
신정차량사업소,동작구,2,226,사당,0.4485049834,0.06513430294,0
창동차량사업소,동작구,4,433,사당,0.9305993691,0.2942524064,0
신정차량사업소,동작구,2,231,신대방,0.5581395349,0.03792296073,0
창동차량사업소,동작구,4,431,동작,0.8391167192,0.006050847831,0
김포차량사업소,동작구,9,4120,동작,0.5541871921,,
창동차량사업소,동작구,4,432,총신대입구,0.8958990536,0.04607057295,0
천왕차량사업소,동작구,7,2738,이수,0.7379912664,0.152908484,0
천왕차량사업소,동작구,7,2739,남성,0.6943231441,0.01426964649,0
천왕차량사업소,동작구,7,2740,숭실대입구,0.6069868996,0.03028789093,0
천왕차량사업소,동작구,7,2741,상도,0.5676855895,0.03206884635,0
천왕차량사업소,동작구,7,2742,장승배기,0.5283842795,0.009280123839,0
천왕차량사업소,동작구,7,2743,신대방삼거리,0.4759825328,0.0554671837,0
천왕차량사업소,동작구,7,2744,보라매,0.4410480349,0.01767753576,0
신정차량사업소,구로구,2,232,구로디지털단지,0.5764119601,0.03151100348,1
신정차량사업소,구로구,2,233,대림,0.5946843854,0.02103494737,1
천왕차량사업소,구로구,7,2746,대림,0.3406113537,0.05254595085,0.6840979798
신정차량사업소,영등포구,2,233,대림,0.5946843854,0.02103494737,1
천왕차량사업소,영등포구,7,2746,대림,0.3406113537,0.05254595085,0.6840979798
신정차량사업소,구로구,2,234,신도림,0.6245847176,0.05236474899,1
신정차량사업소,구로구,2,247,도림천,0.9169435216,,1
천왕차량사업소,구로구,7,2747,남구로,0.2925764192,0.03103858435,1
천왕차량사업소,구로구,7,2751,천왕,0.06550218341,0.121317234,1
천왕차량사업소,구로구,7,2752,온수,0,0.01843211208,1
신정차량사업소,영등포구,2,235,문래,0.6445182724,0.0136056711,0.6840979798
신정차량사업소,영등포구,2,236,영등포구청,0.6594684385,0.02167691967,0.6840979798
방화차량사업소,영등포구,5,2524,영등포구청,0.4581939799,0.04821652069,0.6840979798
신정차량사업소,영등포구,2,236,영등포구청,0.6594684385,0.02167691967,0.6840979798
방화차량사업소,영등포구,5,2524,영등포구청,0.4581939799,0.04821652069,0.6840979798
신정차량사업소,영등포구,2,237,당산,0.6777408638,0.02340351454,0.6840979798
김포차량사업소,영등포구,9,4113,당산,0.3571428571,,
방화차량사업소,영등포구,5,2523,양평,0.4314381271,,0.6840979798
방화차량사업소,영등포구,5,2525,영등포시장,0.4882943144,0.004827735274,0.6840979798
방화차량사업소,영등포구,5,2526,신길,0.525083612,0.009060093008,0.6840979798
방화차량사업소,영등포구,5,2527,여의도,0.5585284281,0.01961898426,0.6840979798
김포차량사업소,영등포구,9,4115,여의도,0.4162561576,,
방화차량사업소,영등포구,5,2528,여의나루,0.5919732441,0.008833590683,0.6840979798
천왕차량사업소,영등포구,7,2745,신풍,0.4017467249,0.03880567265,0.6840979798
신정차량사업소,마포구,2,238,합정,0.7109634551,0.05063685982,0.1461738201
신내차량사업소,마포구,6,2623,합정,0.3543956044,0.08528524409,0.1461738201
신정차량사업소,마포구,2,238,합정,0.7109634551,0.05063685982,0.1461738201
신내차량사업소,마포구,6,2623,합정,0.3543956044,0.08528524409,0.1461738201
신정차량사업소,마포구,2,239,홍대입구,0.7292358804,0.02740289845,0.1461738201
신정차량사업소,마포구,2,240,신촌,0.7508305648,0.02754785994,0.1461738201
신정차량사업소,마포구,2,241,이대,0.7641196013,0.01680000104,0.1461738201
신정차량사업소,마포구,2,242,아현,0.7790697674,0.01833115675,0.1461738201
