차량기지명,IC명,거리(km)
수서차량사업소,매송IC,29.249289302136162
군자차량사업소,서종IC,29.25374891626023
도봉차량사업소,서종IC,29.28554092520599
수서차량사업소,기흥IC,29.28728143005484
창동차량사업소,부천IC,29.35983148755815
군자차량사업소,부평IC,29.413213340314694
지축차량사업소,덕소삼패IC,29.513031680258756
고덕차량사업소,산본IC,29.720272244682942
천왕차량사업소,봉담IC,29.742295218345834
군자차량사업소,안산IC,29.75688345632197
천왕차량사업소,토평IC,29.75849412595287
방화차량사업소,남양주IC,29.941683209084992
수서차량사업소,기흥동탄IC,29.970260465945668
신정차량사업소,비봉IC,29.99746621212406
신정차량사업소,미사IC,30.03876715236779
창동차량사업소,평촌IC,30.045088294843136
도봉차량사업소,금천IC,30.097272891812302
천왕차량사업소,강일IC,30.099389727047154
천왕차량사업소,구리IC,30.100706840059452
방화차량사업소,토평IC,30.17589835083899
신내차량사업소,산본IC,30.28320915466845
천왕차량사업소,남양주IC,30.300017712455933
방화차량사업소,송파IC,30.31470722126828
방화차량사업소,군포IC,30.32711876711719
신내차량사업소,광명역IC,30.34516419114261
수서차량사업소,자유로IC,30.37859686664519
신내차량사업소,부천IC,30.380527977297756
천왕차량사업소,상일IC,30.433364991430093
수서차량사업소,서안산IC,30.475420230884424
방화차량사업소,동군포IC,30.50139804701176
지축차량사업소,평촌IC,30.75919279709275
창동차량사업소,계양IC,30.762727732727935
수서차량사업소,양평IC,30.768855562391014
지축차량사업소,산본IC,30.79948076304075
도봉차량사업소,부천IC,30.80163095033421
수서차량사업소,장수IC,30.8081776459641
방화차량사업소,서하남IC,30.85776001977466
고덕차량사업소,설악IC,30.912422191993535
천왕차량사업소,퇴계원IC,31.001797356136525
방화차량사업소,강일IC,31.017882339128228
도봉차량사업소,성남IC,31.080479859741953
수서차량사업소,일산IC,31.090708851661166
고덕차량사업소,마성IC,31.104818118943044
천왕차량사업소,별내IC,31.112710936340118
고덕차량사업소,광명역IC,31.160152085838476
천왕차량사업소,선동IC,31.16745550157148
고덕차량사업소,동수원IC,31.191657880777885
수서차량사업소,김포IC,31.2149757715217
창동차량사업소,광명역IC,31.215046276970355
방화차량사업소,대왕판교IC,31.325599610330073
수서차량사업소,중동IC,31.38521977347052
수서차량사업소,봉담IC,31.39243923942214
도봉차량사업소,계양IC,31.40994523660282
수서차량사업소,송내IC,31.419278423796563
신내차량사업소,목감IC,31.498143165779545
고덕차량사업소,북수원IC,31.552299078447188
군자차량사업소,서안산IC,31.57404511479866
창동차량사업소,산본IC,31.726007850336472
수서차량사업소,계양IC,31.84022102220899
방화차량사업소,부곡IC,31.864617306739106
창동차량사업소,시흥IC,31.88928479547666
군자차량사업소,마성IC,31.895548917472205
방화차량사업소,선동IC,31.952565614450904
신내차량사업소,양평IC,31.997394585028744
